GenNb-2340   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4062.4612975639457   ||  StdChi2: 2874.933473935053   ||  
GenNb-2345   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4044.096822184216   ||  StdChi2: 2877.899682975039   ||  
GenNb-2347   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4037.2842059280615   ||  StdChi2: 2875.3786963144635   ||  
GenNb-2464   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4036.0833052935495   ||  StdChi2: 2875.606651719483   ||  
GenNb-2503   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4033.897456910501   ||  StdChi2: 2870.806979853997   ||  
GenNb-2562   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4031.0713204933077   ||  StdChi2: 2871.1453657374104   ||  
GenNb-2577   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4029.9588397088846   ||  StdChi2: 2870.8884324343708   ||  
GenNb-2664   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4023.2728297366034   ||  StdChi2: 2874.0157404353067   ||  
GenNb-2872   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4022.82619883909   ||  StdChi2: 2873.9127457428126   ||  
GenNb-3172   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4022.783079856489   ||  StdChi2: 2873.8180714372497   ||  
GenNb-3193   ||  MinChi2: 162.884465253551   ||  MeanChi2: 4020.7067324752643   ||  StdChi2: 2874.8167600065867   ||  
GenNb-3269   ||  MinChi2: 162.884465253551   ||  MeanChi2: 3592.74044092661   ||  StdChi2: 2123.7733929025226   ||  
GenNb-3272   ||  MinChi2: 162.884465253551   ||  MeanChi2: 3592.5333978183744   ||  StdChi2: 2123.765503467356   ||  
GenNb-3274   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 3592.4860077812323   ||  StdChi2: 2123.842036572139   ||  
GenNb-3276   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 3477.9986306592973   ||  StdChi2: 2016.2564985229428   ||  
GenNb-3302   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 3130.1884605122036   ||  StdChi2: 2077.359501787733   ||  
GenNb-3308   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 3070.349404355169   ||  StdChi2: 2139.625351286079   ||  
GenNb-3329   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 3017.681547971264   ||  StdChi2: 2099.853558429948   ||  
GenNb-3334   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2987.682117764752   ||  StdChi2: 2082.2257509348133   ||  
GenNb-3335   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2987.1902243724944   ||  StdChi2: 2082.7885801595235   ||  
GenNb-3341   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2925.804869507435   ||  StdChi2: 2058.539798951562   ||  
GenNb-3344   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2925.3802574567953   ||  StdChi2: 2058.859324895578   ||  
GenNb-3348   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2885.7051680773716   ||  StdChi2: 2091.924819448634   ||  
GenNb-3356   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2791.9944639595333   ||  StdChi2: 2084.739113099731   ||  
GenNb-3365   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2791.7465063759823   ||  StdChi2: 2084.8930342884055   ||  
GenNb-3369   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2779.756692552982   ||  StdChi2: 2095.609031825779   ||  
GenNb-3397   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2719.9919548988396   ||  StdChi2: 2110.337804200651   ||  
